"timestamp","instance","resource","value"
"2020-06-21 00:56:25","5","3316","4.01"
"2020-06-21 00:57:20","3","3303","21.6"
"2020-06-21 00:57:20","3","3304","76.7"
"2020-06-21 00:57:20","3","3307","3.3"
"2020-06-21 00:57:20","3","3305","3.3"
"2020-06-21 00:57:20","3","3306","0.02"
"2020-06-21 00:57:20","3","3308","927.2"
"2020-06-21 00:57:21","3","3316","3.97"
"2020-06-21 00:58:27","3","3303","21.6"
"2020-06-21 00:58:28","3","3304","76.7"
"2020-06-21 00:58:28","3","3307","3.3"
"2020-06-21 00:58:28","3","3305","3.3"
"2020-06-21 00:58:28","3","3306","0.02"
"2020-06-21 00:58:28","3","3308","927.2"
"2020-06-21 00:58:28","3","3316","3.97"
"2020-06-21 00:58:39","5","3303","-127.0"
"2020-06-21 00:58:39","5","3304","-127.0"
"2020-06-21 00:58:39","5","3307","3.3"
"2020-06-21 00:58:39","5","3305","3.3"
"2020-06-21 00:58:40","5","3306","1.67"
"2020-06-21 00:58:40","5","3308","0.0"
"2020-06-21 00:58:40","5","3316","4.01"
"2020-06-21 01:00:54","5","3303","-127.0"
"2020-06-21 01:00:54","5","3304","-127.0"
"2020-06-21 01:00:54","5","3307","3.3"
"2020-06-21 01:00:54","5","3305","3.3"
"2020-06-21 01:00:54","5","3306","1.67"
"2020-06-21 01:00:54","5","3308","0.0"
"2020-06-21 01:00:55","5","3316","4.01"
"2020-06-21 01:02:38","3","3303","21.5"
"2020-06-21 01:02:39","3","3304","76.6"
"2020-06-21 01:02:39","3","3307","3.3"
"2020-06-21 01:02:39","3","3305","3.3"
"2020-06-21 01:02:39","3","3306","0.02"
"2020-06-21 01:02:39","3","3308","927.2"
"2020-06-21 01:02:39","3","3316","3.97"
"2020-06-21 01:05:51","3","3303","21.5"
"2020-06-21 01:05:51","3","3304","76.6"
"2020-06-21 01:05:51","3","3307","3.3"
"2020-06-21 01:05:52","3","3305","3.3"
"2020-06-21 01:05:52","3","3306","0.02"
"2020-06-21 01:05:52","3","3308","927.1"
"2020-06-21 01:05:52","3","3316","3.97"
"2020-06-21 01:06:27","5","3303","-127.0"
"2020-06-21 01:06:27","5","3304","-127.0"
"2020-06-21 01:06:27","5","3307","3.3"
"2020-06-21 01:06:27","5","3305","3.3"
"2020-06-21 01:06:27","5","3306","1.67"
"2020-06-21 01:06:27","5","3308","0.0"
"2020-06-21 01:06:28","5","3316","4.01"
"2020-06-21 01:07:41","5","3303","-127.0"
"2020-06-21 01:07:41","5","3304","-127.0"
"2020-06-21 01:07:41","5","3307","3.3"
"2020-06-21 01:07:41","5","3305","3.3"
"2020-06-21 01:07:41","5","3306","1.67"
"2020-06-21 01:07:42","5","3308","0.0"
"2020-06-21 01:07:42","5","3316","4.01"
"2020-06-21 01:07:57","3","3303","21.5"
"2020-06-21 01:07:57","3","3304","76.6"
"2020-06-21 01:07:57","3","3307","3.3"
"2020-06-21 01:07:58","3","3305","3.3"
"2020-06-21 01:07:58","3","3306","0.02"
"2020-06-21 01:07:58","3","3308","927.1"
"2020-06-21 01:07:58","3","3316","3.97"
"2020-06-21 01:11:04","5","3303","-127.0"
"2020-06-21 01:11:05","5","3304","-127.0"
"2020-06-21 01:11:05","5","3307","3.3"
"2020-06-21 01:11:05","5","3305","3.3"
"2020-06-21 01:11:05","5","3306","1.67"
"2020-06-21 01:11:05","5","3308","0.0"
"2020-06-21 01:11:05","5","3316","4.01"
"2020-06-21 01:11:10","3","3303","21.5"
"2020-06-21 01:11:10","3","3304","76.6"
"2020-06-21 01:11:10","3","3307","3.3"
"2020-06-21 01:11:10","3","3305","3.3"
"2020-06-21 01:11:10","3","3306","0.02"
"2020-06-21 01:11:11","3","3308","927.1"
"2020-06-21 01:11:11","3","3316","3.97"
"2020-06-21 01:12:18","3","3303","21.4"
"2020-06-21 01:12:18","3","3304","76.6"
"2020-06-21 01:12:18","3","3307","3.3"
"2020-06-21 01:12:18","3","3305","3.3"
"2020-06-21 01:12:18","3","3306","0.02"
"2020-06-21 01:12:18","3","3308","927.1"
"2020-06-21 01:12:19","3","3316","3.97"
"2020-06-21 01:14:24","3","3303","21.4"
"2020-06-21 01:14:24","3","3304","76.6"
"2020-06-21 01:14:24","3","3307","3.3"
"2020-06-21 01:14:24","3","3305","3.3"
"2020-06-21 01:14:24","3","3306","0.02"
"2020-06-21 01:14:24","3","3308","927.1"
"2020-06-21 01:14:25","3","3316","3.97"
"2020-06-21 01:15:28","5","3303","-127.0"
